CODE	VN_NAME	EN_NAME	MARKET	INDUSTRY	IPO	IPO_SHARES	FTRD_DATE	FTRD_CLS	MINDATE	MINDATE_SHLI	MINDATE_SHOU	FTRD_SHLI	ENDDATE
LHG	CTCP Long Hậu	Long Hau Corporation	HSX	Financials	2010/03/15	20000000	2010/03/23	48000	2010/03/23	20000000		20000000	2099/12/31
LIG	CTCP LICOGI 13	Licogi 13 Jsc	HNX	Industrials	2010/04/22	6000000	2010/04/22	49500	2010/04/22	6000000		6000000	2099/12/31
LIX	CTCP Bột giặt LIX	Lix Detergent Jsc	HSX	Consumer Goods	2009/12/01	9000000	2009/12/10	61500	2009/12/10	9000000		9000000	2099/12/31
LKW	CTCP Cấp Nước Long Khánh	Long Khanh Water Supply Joint Stock Company	UPC	Utilities	2012/05/30	2500000	2012/07/04	0	2012/07/04	2500000		2500000	2099/12/31
LM3	Công ty cổ phần Lilama 3	Lilama3 Jsc	HNX	Industrials	2009/12/01	5150000	2009/12/01	18500	2009/12/01	5150000		5150000	2099/12/31
LM7	CTCP Lilama 7	Lilama 7 Jsc	HNX	Industrials	2010/10/28	4957000	2010/10/28	11000	2010/10/28	4957000		4957000	2099/12/31
LM8	CTCP Lilama 18	Lilama 18 Jsc 	HSX	Industrials	2010/11/05	8050000	2010/11/15	17000	2010/11/15	8050000		8050000	2099/12/31
LO5	CTCP Lilama 5	Lilama 5 Jsc	HNX	Industrials	2009/12/21	5000000	2009/12/21	16500	2009/12/21	5000000		5000000	2099/12/31
LSS	CTCP Mía đường Lam Sơn	Lam Son Sugar JCC	HSX	Consumer Goods	2007/12/21	30000000	2008/01/09	39000	2008/01/09	30000000		30000000	2099/12/31
LTC	CTCP Điện nhẹ Viễn Thông	Low Current - Telecom Jsc	HNX	Technology	2006/12/14	700000	2006/12/14	45000	2006/12/14	700000		700000	2099/12/31
